Days_since_launch,Alltime_Perday_Quantity,Alltime_Perday_View,Alltime_Perday_ATC,Total_Stock_Sold_Percentage,Days_Since_Last_Sale,Score
77,0.09,5.16,1.1,0.05,2,5
77,0.42,7.42,1.9,0.23,1,3
77,0.45,9.61,2.22,0.28,8,3
77,0.29,10.35,2,0.16,5,4
77,0.34,12.99,2.51,0.19,10,3
66,0.61,13.55,3.85,0.58,16,1
66,0.79,17.94,5.3,0.81,4,1
66,0.55,11.32,2.85,0.62,2,1
54,0.44,5.65,2.09,0.43,8,3
54,0.54,6.3,2.85,0.33,7,3
54,0.57,8.3,3.13,0.29,5,2
54,0.24,6.26,1.76,0.14,18,3
54,0.26,3.76,1.17,0.33,6,4
54,0.67,9.59,3.19,0.46,5,1
54,1.5,18.91,6.87,0.59,1,1
54,0.69,12.39,3.17,0.60,1,1
54,0.78,11.89,3.96,0.28,3,2
54,0.15,4.61,1.24,0.42,12,2
54,0.39,8.28,3.2,0.22,2,3
54,1.06,17.24,5.98,0.59,2,1
41,0.37,6.05,2.2,0.12,2,3
54,0.76,10.07,3.91,0.35,1,2
54,0.48,9.48,2.89,0.90,10,1
54,0.78,14.37,5.24,0.27,3,1
41,0.32,5.83,1.78,0.10,2,3
54,0.33,10.83,3.02,0.16,6,3
54,0.81,16.96,5.63,0.28,4,1
54,0.37,9.54,2.7,0.80,3,1
54,0.2,10.35,2,0.22,7,3
54,0.98,26.57,6.5,0.62,3,1
56,0.14,2.8,1.3,0.29,4,3
56,0.16,3.5,0.68,0.28,1,3
56,0.07,1.89,0.8,0.13,17,3
56,0.2,2.29,1.14,0.37,5,4
56,0.18,5.8,1.59,0.33,6,3
56,0.07,2.38,0.75,0.15,1,3
56,0.09,1.45,0.95,0.19,7,3
56,0.12,1.84,0.96,0.23,5,3
56,0.12,1.82,0.95,0.26,4,3
56,0.23,2.64,1.62,0.42,9,4
56,0.11,4.2,1.68,0.21,1,3
56,0.18,3.84,1.68,0.37,3,3
56,0.23,5.52,2.36,0.45,1,4
56,0.34,9.89,2.71,0.63,6,1
29,0.45,3.66,2.17,0.09,3,3
29,0.38,3.1,1.59,0.07,4,4
29,0.24,2.83,1.31,0.06,5,4
29,0.86,5.24,4.55,0.11,2,2
29,0.69,5.07,3.59,0.09,3,2
29,0.62,6.21,3.97,0.12,2,2
29,0.17,2.66,1.34,0.03,3,4
29,0.17,2.48,1.66,0.04,4,4
29,0.41,3.1,1.97,0.17,1,2
29,0.34,5.31,2.45,0.09,2,3
29,0.62,5.86,3.52,0.08,3,3
29,0.59,5.38,3.07,0.08,2,3
29,0.76,10.83,4.93,0.17,1,2
29,0.86,7.62,3.9,0.12,3,3
29,1.17,9.86,5.9,0.22,2,2
29,0.76,10.41,3.14,0.41,5,1
29,0.79,12.62,5.03,0.39,3,1
29,1,16.41,4.66,0.67,2,1
29,1.03,15.41,4.83,0.52,2,1
41,0.24,8.29,2.44,0.11,5,3
41,0.24,5.9,1.66,0.09,2,4
41,0.54,9.15,2.78,0.63,2,1
41,0.32,11.46,2.63,0.29,9,2
41,0.44,10.83,2.61,0.31,1,3
41,0.56,10.49,2.39,0.48,1,1
41,0.61,17.63,4.71,0.45,3,1
41,0.15,4.15,1.39,0.17,7,3
41,0.17,3.9,1.12,0.19,2,3
41,0.32,8.17,2.61,0.34,3,1
41,0.15,6.93,2.44,0.17,4,3
41,0.46,7.37,2.93,0.49,2,1
41,0.22,5.39,1.73,0.23,5,3
41,0.15,4.49,1.2,0.16,6,3
41,0.27,4.88,1.66,0.32,3,4
41,0.37,8.93,3.34,0.42,3,1
41,0.07,4.1,1.22,0.08,5,3
41,0.15,7.66,2.46,0.17,4,3
41,0.39,10.83,3,0.46,3,1
41,0.39,13.46,2.98,0.43,4,1
41,0.29,17.54,3.93,0.35,3,1
41,0.59,22.39,4.17,0.48,9,1
25,0.68,19.16,4.4,0.16,1,2
25,0.8,17.84,4.64,0.12,3,3
25,1,17.84,5.08,0.16,3,1
25,0.84,28.16,7.48,0.21,1,1
25,1.8,50.36,12.56,0.70,1,1
8,1.38,20.25,4.75,0.12,1,1
8,2,42.38,10,0.11,1,1
8,0.62,32.12,5.38,0.05,1,1
8,3.25,73.25,19.88,0.36,1,1
8,2.88,74.25,14.88,0.39,1,1
