Days_since_launch,Total_Stock_Sold_Percentage,Alltime_Perday_View,Alltime_Perday_ATC,Alltime_Perday_Quantity
797,1.02,8.41,0.61,0.15
798,1.00,3.67,1.17,0.51
801,1.01,4.18,0.82,0.31
802,1.00,2.77,0.27,0.07
796,1.00,1.57,0.38,0.09
802,0.77,0.05,0.11,0.03
800,1.00,0.5,0.26,0.07
799,1.00,1.43,0.11,0.02
739,0.97,1.18,0.12,0.04
780,0.71,1.54,0.1,0.01
784,0.56,0.78,0.16,0.02
802,1.00,1.25,0.19,0.03
772,0.49,0.73,0.08,0.03
767,0.35,1.01,0.1,0.02
735,1.33,0.92,0.24,0.03
798,0.58,2.63,0.42,0.07
802,1.01,22.11,1.77,1.15
802,0.80,3.33,0.81,0.17
788,0.66,2.67,0.3,0.05
797,1.00,18.54,0.76,0.19
304,1.00,77,19,1
750,1.00,4.78,0.69,0.06
790,0.53,2.7,0.63,0.13
551,1.00,21.78,2.35,0.05
797,1.00,17.62,1.64,0.4
797,0.00,1051,1,0
797,0.00,19,1,0
790,1.00,4.88,0.55,0.06
792,1.00,3.16,0.33,0.04
802,0.00,132,14,0
792,1.03,2.38,0.43,0.08
799,1.00,5.17,0.64,0.11
802,0.00,129,15,0
799,1.00,19.55,0.98,0.14
802,1.00,4.4,0.36,0.03
802,0.00,985,14,0
484,1.00,2.24,0.44,0.02
792,1.00,5.79,0.98,0.12
801,1.00,17.55,3.8,0.35
802,1.00,6.17,0.97,0.09
802,0.00,149,2,0
788,1.07,4.82,0.41,0.04
795,1.00,4.52,0.61,0.09
801,0.79,3.32,1.14,0.25
802,1.00,9.24,1.71,0.44
802,0.86,4.14,1.43,0.29
802,1.00,6.44,1.6,0.3
800,1.00,5.2,1.44,0.32
800,1.00,4.2,1.47,0.34
802,1.00,4.55,1.35,0.32
800,0.50,11.1,0.66,0.16
790,1.00,1.4,0.17,0.02
800,0.00,27,10,0
800,0.00,1205,115,0
777,1.00,2.52,0.26,0.04
783,1.00,1.39,0.37,0.02
784,1.00,3.04,0.38,0.06
785,1.00,5.99,0.58,0.05
781,1.00,5.26,0.53,0.06
800,1.00,11.46,1.14,0.2
799,0.80,2.34,0.56,0.14
795,1.00,2.19,0.82,0.27
801,1.02,5.27,0.88,0.28
794,1.00,2.26,0.61,0.22
792,1.00,4.99,1.55,0.48
800,1.00,4.6,1.3,0.47
793,0.74,3.07,0.39,0.11
792,0.65,1.09,0.36,0.11
799,1.01,5.75,0.81,0.22
799,1.00,2.39,0.77,0.25
787,0.79,1.92,0.45,0.14
802,1.05,3.32,1.16,0.32
798,1.01,2.31,0.44,0.13
770,1.00,2.09,0.28,0.06
802,0.99,1.83,0.33,0.1
756,1.00,7.23,0.71,0.13
767,0.86,2.22,0.3,0.1
800,1.05,3.03,1.31,0.29
802,1.01,20.76,3.65,0.92
797,1.00,6.16,1.87,0.44
802,1.01,6.14,3.75,1.12
801,1.01,4.34,2.47,0.6
802,1.01,7.5,2.71,0.69
802,1.01,6.99,3.78,0.99
802,1.00,4.09,2.71,0.77
802,1.00,10.72,5.16,1.41
802,1.01,8.56,3.44,0.72
788,1.00,5.95,3.18,0.79
787,0.97,2.06,0.25,0.04
793,0.60,1.36,0.23,0.05
802,1.00,2.49,0.2,0.03
761,0.92,1.71,0.13,0.03
794,0.94,1.38,0.23,0.02
755,0.46,0.23,0.05,0.02
755,0.48,0.64,0.11,0.02
802,0.98,158.9,15.23,3.78
800,1.00,3.01,0.46,0.06
799,1.00,1.04,0.71,0.08
800,1.00,6.08,0.65,0.1
799,1.00,3.34,0.56,0.07
776,0.79,1.63,0.16,0.02
776,0.67,0.09,0.05,0.01
767,1.00,0.19,0.06,0.02
732,0.34,0.22,0.04,0.02
773,1.00,16,0.18,0.03
802,0.00,99,10,0
802,0.00,27,17,0
802,0.00,10,16,0
802,0.00,23,25,0
802,0.00,0,0,0
802,0.00,13,1,0
802,0.77,2.56,0.46,0.13
801,1.00,3.43,1.06,0.36
800,1.01,1.15,0.43,0.12
769,0.57,0.57,0.23,0.04
688,1.09,0.2,0.09,0.04
779,1.00,0.57,0.15,0.03
766,1.00,1.17,0.36,0.09
802,0.00,234,2,0
802,0.00,1220,49,0
802,0.00,6,41,0
802,0.00,9,20,0
802,0.00,2,7,0
784,0.37,0.33,0.04,0.01
780,0.76,0.36,0.07,0.02
802,1.00,0.98,0.07,0.02
799,0.51,9.16,2.14,0.55
802,0.00,0,5,0
802,0.00,16,0,0
801,1.00,3.61,1.34,0.57
797,0.57,3.19,0.63,0.11
742,0.13,0.11,0.02,0
779,1.00,43,9.67,0.67
751,1.00,2.64,0.14,0.01
801,1.00,0.55,0.11,0.02
802,0.92,2.31,0.76,0.87
798,0.00,1965,37,0
798,0.00,1238,91,0
798,0.00,183,25,0
798,0.00,131,12,0
583,1.00,263,17,1
756,1.00,2006,73,1
798,1.00,454,17,1
623,1.00,90,26,1
798,0.00,31,8,0
798,0.00,25,34,0
798,0.00,88,44,0
798,0.00,199,60,0
798,0.00,897,50,0
623,0.00,461,45,0
798,0.00,62,44,0
798,0.00,728,33,0
583,1.00,0.54,0.22,0.01
798,0.00,868,96,0
756,0.00,29,40,0
798,0.00,5,2,0
797,0.48,3.28,0.92,0.09
727,0.66,1.09,0.16,0.03
765,0.29,0.13,0.09,0.01
799,1.00,2.14,0.18,0.02
801,1.00,0.37,0.15,0.03
802,0.00,2,19,0
773,1.00,1.53,0.16,0.02
793,1.00,1.93,0.4,0.14
773,1.00,1465,78,1
800,1.00,2.97,0.97,0.09
801,1.00,3.39,0.8,0.19
713,0.23,0.14,0.04,0.02
737,0.20,6.48,1.24,0.04
709,0.16,0.11,0.05,0.01
773,0.29,0.56,0.04,0.01
765,1.00,2.78,0.17,0.02
767,0.41,0.91,0.16,0.04
778,1.00,0.93,0.16,0.02
739,0.89,0.33,0.05,0.01
783,1.00,0.76,0.16,0.05
772,0.66,0.54,0.12,0.05
802,1.00,2.67,0.55,0.15
786,1.00,39.66,2.31,0.16
794,1.00,2.56,0.44,0.06
794,1.09,1.58,0.25,0.07
801,1.02,2.05,0.32,0.1
794,1.00,1.68,0.3,0.08
798,1.00,2.81,0.41,0.1
794,0.77,3.14,0.29,0.06
794,0.99,2.35,0.38,0.14
794,1.00,1.67,0.36,0.07
801,1.00,1.11,0.26,0.08
794,0.99,1.72,0.28,0.1
535,1.00,11,20,1
713,1.00,1.02,0.32,0.07
760,1.00,1.12,0.27,0.07
796,0.98,1.76,0.35,0.08
783,1.00,0.74,0.48,0.1
801,0.00,56,48,0
559,1.00,0.27,0.16,0.03
801,0.00,164,32,0
712,0.34,0.22,0.17,0.03
798,0.82,0.12,0.07,0.01
750,0.69,0.17,0.13,0.03
801,0.00,2,2,0
801,0.00,81,10,0
730,1.00,2.01,0.27,0.05
798,1.00,1.66,0.19,0.03
779,1.00,0.88,0.14,0.02
794,1.00,1.19,0.3,0.11
798,1.00,3.12,0.53,0.14
801,0.00,26,8,0
802,1.00,27.49,2.55,0.47
802,1.00,0.24,0.5,0.18
801,0.43,0.32,0.37,0.14
800,1.00,0.4,0.49,0.18
737,0.50,11.25,0.79,0.08
713,0.63,0.89,0.12,0.02
800,1.00,49.1,1.2,0.2
799,1.01,2.93,0.78,0.26
800,1.00,3.2,0.43,0.12
802,1.01,1.79,0.9,0.36
801,1.00,2.84,1.27,0.5
799,0.79,0.71,0.46,0.18
802,0.93,0.68,0.41,0.15
800,0.87,1.67,0.57,0.19
800,1.00,0.51,0.49,0.16
800,0.66,0.43,0.44,0.14
800,1.00,0.47,0.54,0.18
757,1.00,5.52,0.28,0.05
799,1.00,2.43,0.07,0.02
765,0.08,1.41,0.04,0
737,0.83,3.29,0.12,0.01
753,1.00,7.52,0.43,0.07
705,1.00,14.01,0.76,0.03
726,1.00,4.89,0.21,0.03
796,1.00,6.97,0.32,0.05
751,1.00,16.26,0.81,0.07
760,1.00,7.69,0.32,0.03
798,1.00,25.99,0.78,0.06
764,1.00,22.68,0.36,0.02
705,1.00,16.15,0.47,0.03
802,0.52,0.97,0.39,0.09
800,1.00,3.55,0.39,0.08
802,1.00,6.61,0.67,0.14
724,1.00,11.01,2.44,0.42
800,0.62,1.26,0.4,0.08
802,1.00,7.81,2.18,0.27
800,1.00,5.64,2.36,0.38
799,1.00,0.42,0.15,0.05
773,0.53,0.18,0.04,0.01
747,0.79,0.31,0.08,0.03
756,0.29,1.19,0.1,0.03
796,0.19,0.35,0.08,0.02
771,1.00,0.44,0.11,0.04
753,0.08,2.05,0.11,0.02
772,0.16,0.27,0.08,0.03
724,0.13,0.18,0.13,0.02
724,0.96,0.52,0.41,0.1
802,1.00,1.9,0.43,0.1
797,1.00,6.27,0.82,0.14
742,0.22,0.29,0.06,0.01
765,1.00,0.57,0.1,0.02
774,0.53,1.25,0.19,0.03
802,1.01,7.82,1.93,0.73
802,0.00,19,27,0
782,1.00,1.11,0.47,0.09
789,1.03,1.64,0.49,0.12
799,1.00,3.49,0.56,0.13
802,1.14,0.94,0.37,0.07
799,1.04,30.39,1.1,0.15
801,1.07,5.22,0.54,0.08
797,1.00,3.31,0.63,0.11
770,1.00,2.22,0.66,0.13
798,1.00,2.69,0.7,0.13
802,1.00,1.82,0.79,0.24
802,1.00,2.58,1.12,0.43
802,1.00,2.77,0.62,0.17
796,1.04,0.56,0.23,0.06
744,1.01,2.55,0.82,0.28
785,1.05,2.08,0.56,0.17
773,1.00,0.15,0.08,0.03
767,1.20,0.41,0.11,0.03
800,1.04,2.7,0.46,0.1
792,1.00,1.6,0.57,0.09
794,0.72,0.78,0.08,0.02
779,1.00,1.09,0.16,0.04
792,0.60,1.13,0.19,0.07
802,1.00,1.46,0.12,0.01
783,0.97,0.73,0.14,0.05
802,0.33,2.33,0.16,0.03
796,0.85,0.99,0.23,0.07
796,1.00,1.37,0.2,0.04
794,1.00,0.89,0.29,0.07
779,1.00,0.8,0.25,0.08
792,1.00,0.77,0.17,0.03
802,1.05,0.73,0.16,0.04
783,1.00,1.53,0.17,0.04
802,1.04,1.99,0.27,0.09
796,1.00,9.33,0.99,0.05
796,1.00,1.58,0.18,0.02
794,1.00,1.36,0.34,0.1
779,1.00,1.83,0.21,0.07
792,1.00,1.63,0.53,0.23
802,1.03,1.09,0.2,0.07
783,1.00,1.57,0.16,0.06
802,1.03,3.71,0.26,0.12
794,1.00,1.92,0.18,0.05
779,1.00,0.65,0.12,0.04
792,1.00,0.3,0.07,0.01
802,1.08,0.93,0.12,0.03
783,1.00,1.1,0.12,0.02
802,1.14,2.16,0.16,0.03
796,1.00,2.39,0.3,0.09
796,1.00,3.84,0.11,0.01
713,0.77,1.09,0.16,0.03
802,1.00,3.11,1.66,0.67
799,1.00,1.18,0.32,0.05
797,1.00,1.47,0.39,0.09
802,1.00,0.26,0.15,0.04
802,1.02,11.38,0.96,0.18
802,1.00,3.84,1.35,0.25
802,1.00,5.69,0.97,0.1
800,1.00,9.3,2.63,0.39
611,1.00,1.27,0.47,0.06
802,1.01,7.87,2.31,0.49
781,1.00,12.25,3.44,0.62
801,1.00,6.18,1.2,0.22
800,1.00,5.55,2.08,0.3
721,1.00,1.61,1.1,0.25
802,0.00,53,35,0
800,1.00,0.26,0.16,0.04
800,0.55,0.39,0.37,0.12
802,1.00,0.84,0.86,0.29
802,0.99,0.79,0.56,0.19
801,1.00,2.08,0.71,0.24
800,1.00,39.3,3.2,0.2
800,0.00,16,23,0
800,1.03,2.64,0.83,0.26
802,0.98,1.21,0.64,0.2
782,1.00,2.91,0.78,0.23
802,0.00,1,6,0
802,0.00,9,3,0
798,1.06,28.28,2.26,0.26
802,0.00,836,41,0
802,0.00,31,45,0
802,0.00,26,43,0
802,0.00,1,14,0
802,0.00,23,34,0
802,0.00,3,8,0
744,1.00,4.15,1.35,0.4
797,1.00,10.6,1.3,0.25
789,1.00,1.64,0.32,0.08
801,1.00,7.86,1.15,0.23
579,1.00,115,32,1
746,0.00,35,22,0
746,1.00,1.06,0.13,0.02
800,0.00,2475,91,0
800,0.00,11,31,0
767,0.00,388,71,0
709,1.00,3.06,0.92,0.02
767,1.00,1.55,0.13,0.03
800,0.70,1.2,0.13,0.02
789,1.00,1.2,0.16,0.03
782,1.00,2.19,0.21,0.04
709,0.09,0.4,0.03,0.01
783,1.00,0.23,0.06,0.02
800,1.06,6.15,0.75,0.16
780,0.82,1.57,0.37,0.06
801,1.00,2.45,0.46,0.08
801,1.00,9.02,1.27,0.25
722,3.00,22.4,1.8,0.3
801,1.00,9.21,1.24,0.22
802,0.00,977,65,0
787,1.00,3.21,1.04,0.06
746,0.00,30,34,0
802,1.00,9.28,1.64,0.36
709,1.17,2.07,0.53,0.06
735,1.00,1.19,0.19,0.04
796,1.00,4.72,0.69,0.24
796,1.00,1.52,0.35,0.19
800,1.00,3.82,0.69,0.23
800,1.00,2.53,0.55,0.09
797,0.89,1.49,0.16,0.04
801,0.00,234,3,0
800,0.81,4.66,1.55,0.43
801,0.94,7.34,2.99,1.06
801,0.00,908,9,0
800,0.00,300,2,0
794,1.00,4.33,0.52,0.15
802,1.00,6.7,0.56,0.14
802,1.00,9.72,0.94,0.17
797,1.00,7.58,0.96,0.18
797,0.93,1.39,0.24,0.07
797,0.95,2.47,0.4,0.09
799,1.00,23.39,0.7,0.06
802,1.00,2.36,0.31,0.1
802,1.00,13.14,1.87,0.57
802,1.00,3.05,0.8,0.15
788,1.08,3.84,0.53,0.12
778,1.00,0.18,0.02,0
754,1.00,1.41,0.24,0.02
797,1.00,1.27,0.32,0.02
797,0.00,61,25,0
779,0.81,0.47,0.2,0.03
796,1.00,5.63,0.67,0.17
798,1.00,5.77,0.76,0.18
802,1.35,5.47,0.64,0.09
773,1.00,2.13,0.44,0.05
785,1.00,2.07,0.37,0.06
797,1.00,1.62,0.35,0.07
783,1.00,2.29,0.31,0.04
801,1.00,0.46,0.15,0.03
788,1.00,2.51,0.45,0.09
801,1.00,11.19,1.36,0.22
800,1.00,12.19,0.47,0.02
802,0.00,432,62,0
801,1.00,6.34,0.59,0.12
802,1.04,3.57,0.91,0.17
798,1.00,1.77,0.63,0.15
611,1.00,521.67,22.33,0.67
795,1.00,6.66,1.23,0.24
768,1.07,2.08,0.6,0.12
610,1.00,23.93,1.55,0.25
802,1.06,1.83,0.53,0.09
802,0.22,2.99,1.01,0.32
795,1.00,2.43,0.71,0.17
746,0.00,19,10,0
802,1.00,5.47,2.38,0.8
801,1.00,3.76,1.1,0.32
746,1.00,17.34,0.76,0.12
802,1.00,2.8,0.17,0.03
799,1.00,2.2,0.24,0.03
797,1.00,1.64,0.18,0.02
797,1.00,1.06,0.18,0.04
802,1.00,0.34,0.07,0.03
802,1.00,1.5,0.2,0.04
802,1.00,1.62,0.43,0.12
794,0.95,1.97,0.09,0.03
794,1.00,1.27,0.28,0.08
800,1.00,1.85,0.24,0.04
800,1.00,1.7,1.17,0.28
802,1.00,1.98,0.41,0.13
801,0.60,1.56,0.17,0.03
801,1.00,13.2,1.27,0.32
800,0.00,19,10,0
794,1.00,4.48,0.25,0.06
802,1.00,3.05,0.26,0.05
802,1.00,1.1,0.22,0.04
799,1.00,4.27,0.68,0.05
799,1.00,33.61,2,0.35
800,1.00,3.17,0.2,0.02
797,1.00,1.51,0.31,0.07
800,0.00,32,12,0
801,1.00,26.51,0.65,0.07
801,1.00,9.91,2.29,0.59
800,1.00,0.17,0.18,0.04
802,1.00,0.43,0.4,0.07
802,0.27,0.31,0.26,0.07
732,0.75,2.57,0.11,0.02
713,0.08,1.51,0.06,0
802,1.00,20.5,5.1,1.2
802,1.00,13.39,4.77,0.94
802,1.01,24.06,5.02,0.87
802,1.00,2.31,0.33,0.05
802,0.00,6,3,0
759,0.00,3603,75,1
801,1.00,6.48,1.55,0.27
787,0.93,4.18,1.33,0.39
787,0.92,2.93,0.93,0.3
785,0.94,3.06,1.2,0.34
787,0.88,2.36,0.81,0.24
783,0.56,1.24,0.22,0.05
758,0.48,1.41,0.23,0.03
790,0.08,0.84,0.06,0.01
791,0.79,2.04,0.34,0.06
767,0.72,1.51,0.23,0.04
754,0.87,2.81,0.56,0.13
679,0.70,1.16,0.32,0.06
782,0.85,2.77,0.58,0.15
715,0.40,1.96,0.28,0.03
668,0.57,0.34,0.15,0.03
668,0.25,0.4,0.16,0.01
764,0.87,4.33,0.66,0.14
732,1.00,3.81,0.52,0.09
802,1.00,21.27,3.65,0.49
802,1.00,11.22,0.49,0.04
800,1.00,72.27,8.21,0.75
802,1.00,29.86,2.34,0.17
800,1.00,9.77,1.04,0.13
763,0.61,2.71,0.99,0.17
802,0.93,4.04,0.48,0.18
787,1.04,3.13,0.27,0.06
802,0.50,0.41,0.05,0.02
787,0.75,0.3,0.02,0
802,0.26,2.24,0.1,0.02
802,0.78,0.99,0.17,0.05
787,1.10,0.97,0.22,0.04
802,0.30,0.63,0.1,0.02
796,0.67,2.87,0.27,0.09
787,0.73,9.21,0.33,0.09
802,0.63,1.27,0.19,0.08
802,0.80,1.05,0.16,0.05
787,1.07,1.94,0.17,0.05
796,0.30,0.94,0.07,0.02
787,0.47,3.1,0.17,0.03
802,0.31,1.37,0.1,0.02
800,1.17,2.18,0.61,0.07
802,1.01,4.92,1.53,0.27
695,1.00,3.17,0.33,0.06
801,1.00,14.71,2.56,0.37
798,1.00,1.07,0.45,0.05
796,0.11,0.26,0.03,0.01
787,0.11,0.35,0.03,0.01
796,0.31,2.05,0.12,0.02
787,0.37,1.6,0.19,0.02
802,1.00,25.27,4.07,0.79
802,1.01,13.67,2.9,0.59
802,1.00,26.03,3.53,0.64
802,1.00,11.75,3.01,0.59
802,1.00,0.63,0.43,0.1
789,0.89,5.82,0.52,0.16
791,0.67,4.66,0.29,0.08
789,0.34,0.86,0.16,0.02
791,0.13,0.54,0.09,0.01
789,0.76,1.31,0.26,0.06
791,0.45,1.28,0.14,0.03
789,0.77,2.11,0.23,0.07
791,0.53,2.99,0.14,0.04
676,0.83,2.02,0.09,0.02
777,0.94,1.22,0.14,0.04
779,0.75,1.04,0.09,0.02
790,0.96,1.51,0.16,0.03
768,0.68,1.69,0.14,0.03
676,0.63,0.07,0.04,0.01
777,0.67,0.09,0.03,0.01
779,0.44,0.06,0.03,0.01
790,0.86,1.04,0.04,0.01
768,0.17,0.42,0.04,0
800,1.05,6.59,1.24,0.17
802,1.00,11.05,1.97,0.26
791,1.00,1.98,0.6,0.16
785,0.97,2.06,0.5,0.14
761,0.54,2.97,0.16,0.04
713,0.81,2.6,0.48,0.14
785,1.00,0.79,0.33,0.04
802,1.00,1.33,0.63,0.09
774,1.00,0.71,0.2,0.03
785,1.00,0.64,0.1,0.01
802,1.02,7.13,1.64,0.29
802,1.00,5.42,1.28,0.21
782,1.00,8.43,1.91,0.38
799,1.04,4.22,1.09,0.06
799,1.00,2.07,0.32,0.02
802,1.00,6.4,3.02,0.24
802,1.06,3.57,0.55,0.1
802,1.03,7.23,0.92,0.1
800,1.00,4.22,0.9,0.1
799,1.00,4.7,0.8,0.15
800,1.01,6.93,0.97,0.14
801,1.00,5.69,1.6,0.33
801,1.00,5.92,1.14,0.21
800,1.01,5.77,0.99,0.15
784,0.95,2.79,0.4,0.11
776,1.03,2.07,0.49,0.11
777,1.00,1.92,0.49,0.1
774,1.00,9.19,0.7,0.13
775,1.00,4.08,0.76,0.13
775,1.02,3.16,0.91,0.23
800,1.00,3.96,0.87,0.08
801,1.00,4.52,1.22,0.21
780,0.99,3.34,2.04,0.75
763,0.96,3.6,1.75,0.62
801,0.86,25.7,3.9,0.68
801,0.90,17.67,4.24,0.77
802,0.84,15.55,3.68,0.69
791,1.00,19.52,2.61,0.33
790,1.01,20.61,2.09,0.25
797,0.50,4.5,1.19,0.25
790,0.49,3.43,0.97,0.18
798,0.47,3.98,1.12,0.21
793,0.53,4.41,1.56,0.28
796,0.34,5.02,1.01,0.17
798,0.90,7.22,1.75,0.34
802,0.36,3.44,1.07,0.18
790,1.00,50.85,5.36,0.81
789,1.00,29.9,2.47,0.34
790,1.00,26.23,2.57,0.5
790,1.00,12.8,1.82,0.27
790,1.00,32.78,4.82,0.82
780,0.74,5.82,1.93,0.37
780,0.96,8.11,2.51,0.53
779,0.87,6.59,2.28,0.47
455,0.00,423,69,1
780,0.95,15.94,3.13,0.46
774,1.00,6.73,1.39,0.28
774,1.00,9.01,1.67,0.36
767,0.65,1.47,0.47,0.09
771,0.69,1.23,0.32,0.08
759,0.55,2.98,0.29,0.05
773,0.88,2.96,0.69,0.12
772,0.79,1.83,0.46,0.1
770,0.55,1.84,0.54,0.09
767,0.38,0.54,0.3,0.04
771,0.50,0.91,0.26,0.04
759,0.07,0.18,0.05,0
773,0.50,0.28,0.24,0.04
770,0.21,0.56,0.17,0.02
772,0.63,0.57,0.26,0.05
774,1.01,15.07,1.37,0.2
776,0.63,5.57,1.41,0.23
776,0.41,2.69,0.51,0.1
764,0.83,3.07,0.63,0.12
762,0.65,3.27,0.66,0.14
765,0.97,9.79,1.07,0.2
761,0.47,3.63,0.58,0.09
750,0.62,0.83,0.28,0.04
760,0.35,0.91,0.25,0.04
732,0.90,2.54,0.36,0.05
750,0.18,3.31,0.33,0.03
756,0.97,0.99,0.27,0.04
604,1.00,3.42,0.54,0.05
769,1.00,6.24,1.37,0.25
767,1.00,6.23,1.15,0.18
768,1.00,11.97,1.76,0.25
767,0.98,4.28,1.11,0.22
769,1.00,5.74,0.68,0.12
758,1.00,2.95,0.64,0.07
772,1.01,5.88,1.57,0.31
770,1.00,3.2,0.86,0.14
767,1.00,4.79,1.72,0.48
769,1.00,1.97,0.42,0.09
774,1.00,0.56,0.43,0.05
774,1.00,3.49,1.2,0.26
756,0.92,1.73,0.51,0.15
698,0.35,1.07,0.18,0.03
721,0.84,7.92,1.57,0.32
749,1.00,25.38,5.62,1.09
729,1.00,36.92,7.73,1.55
737,1.00,2.6,0.54,0.11
744,1.00,3.49,0.76,0.15
741,1.00,5.45,0.93,0.2
744,1.00,5.6,1.66,0.31
742,1.01,6.32,2.2,0.32
744,1.00,7.04,2.31,0.4
767,0.16,0.03,0.05,0.01
771,0.37,0.06,0.05,0.02
759,0.42,0.06,0.08,0.03
773,0.62,0.13,0.13,0.03
772,0.34,0.05,0.08,0.01
770,0.30,0.12,0.12,0.03
678,1.00,15.79,4.55,0.76
678,1.01,7.17,1.9,0.27
703,1.00,23.76,3.85,0.52
692,1.00,1.09,0.2,0.03
698,1.00,2.71,0.52,0.07
698,1.00,1.69,0.32,0.04
697,1.00,3.89,0.82,0.07
678,0.98,4.36,1.14,0.42
678,0.91,8.12,1.86,0.55
678,0.99,2.23,0.43,0.1
678,1.00,10.6,1.27,0.31
678,1.00,5.19,0.94,0.21
661,1.00,1.94,0.63,0.12
661,1.02,2.43,0.65,0.16
661,1.00,2.15,0.4,0.07
661,1.00,1.95,0.4,0.07
661,1.00,2.7,0.48,0.07
676,1.00,1.9,1,0.2
676,1.11,0.99,0.35,0.06
676,1.00,7.1,1.24,0.31
676,1.00,7.39,1.97,0.41
676,1.00,4.29,1.18,0.24
676,1.00,1.29,0.5,0.12
676,1.03,3.67,0.78,0.15
676,1.00,8.1,1.05,0.21
676,1.00,7.01,1.89,0.31
676,1.00,7.13,1.67,0.24
676,1.33,0.08,0.05,0.01
676,1.00,0.03,0.01,0
676,1.00,1.18,0.13,0.02
676,1.00,0.44,0.12,0.02
676,1.00,0.05,0.02,0.01
676,1.25,0.07,0.08,0.01
667,1.01,43.48,3.57,0.85
596,0.56,3,0.43,0.07
589,0.80,3.37,0.49,0.07
638,1.00,2.75,0.93,0.24
638,1.00,3.47,1.85,0.44
638,1.00,2.91,0.88,0.2
638,1.00,2.75,0.61,0.12
638,0.99,2.31,1.19,0.29
638,1.00,1.9,0.85,0.18
638,1.01,2.24,0.62,0.12
638,1.00,2.92,1.44,0.27
638,1.00,3.94,1.52,0.38
638,1.01,1.31,0.66,0.16
638,1.00,2.25,1.09,0.21
638,1.00,2.6,0.9,0.17
638,1.00,0.47,0.29,0.05
638,1.00,2.35,1.25,0.28
632,1.00,2.79,0.78,0.22
632,1.00,12.9,1.6,0.59
632,1.00,5.45,1.41,0.48
632,1.01,6.05,1.07,0.34
632,0.98,7.17,1.66,0.51
632,0.99,1.28,0.73,0.26
632,1.00,9.66,1.98,0.66
321,0.68,2.67,1,0.17
321,0.85,4.18,0.75,0.07
321,0.72,1.18,0.52,0.09
321,0.43,2.49,0.5,0.06
629,1.00,2.76,1.06,0.23
625,0.86,3.36,0.66,0.08
638,1.00,2.13,0.47,0.07
638,1.00,1.86,0.29,0.06
638,1.00,3.62,0.6,0.1
638,1.00,3.22,0.41,0.06
638,1.03,5.89,0.7,0.1
633,1.00,6.58,1.12,0.17
633,1.00,1.99,0.39,0.06
627,1.00,29.73,3.35,0.82
627,1.03,9.13,1.63,0.26
627,1.01,12.5,2.45,0.42
555,1.00,3.78,0.49,0.04
627,1.00,36.45,3.81,0.56
207,0.50,9.09,2.65,0.4
633,1.00,3.52,1.13,0.16
630,1.00,28.7,1.8,0.29
630,1.00,8.14,1.06,0.2
630,1.00,34.72,3.52,0.7
630,1.00,14.39,1.32,0.23
630,1.00,13.31,2.28,0.47
630,1.00,14.37,1.08,0.19
630,1.00,40.86,5.79,0.57
630,1.00,31.1,2.18,0.54
630,1.05,4.46,0.79,0.11
630,1.00,7.08,0.79,0.13
630,1.00,12.81,1.69,0.36
629,1.00,8.87,1.62,0.29
629,1.00,5.8,1.4,0.31
629,1.00,0.35,0.44,0.08
629,1.00,2.15,0.55,0.13
629,1.02,12.22,2.47,0.54
629,1.00,2.41,0.69,0.16
629,1.00,3,0.96,0.28
629,1.01,5.86,1.06,0.24
629,1.02,2.8,0.8,0.24
629,1.00,18.96,2.13,0.49
629,1.00,7.61,0.74,0.15
629,1.00,5.57,0.85,0.2
629,1.00,2.53,0.4,0.05
629,1.00,8.57,1.11,0.24
629,1.00,1.84,0.68,0.13
629,0.94,1.48,0.35,0.09
629,0.84,1.33,0.36,0.07
629,1.00,2.59,0.21,0.04
629,1.00,1.34,0.69,0.14
628,1.02,4.77,0.59,0.11
628,1.01,12.11,1.16,0.18
628,1.00,5.65,0.81,0.15
628,1.02,13.04,1.17,0.17
628,1.00,3.14,0.6,0.11
628,1.00,3.28,0.56,0.08
628,1.02,3.02,0.47,0.1
628,1.02,5.46,0.55,0.13
628,1.01,6.61,0.91,0.17
628,1.00,12.04,0.63,0.09
628,1.00,9.02,0.72,0.1
627,1.00,0.74,0.06,0.01
627,1.00,0.86,0.1,0.03
627,1.00,1.04,0.13,0.04
627,1.00,4.12,0.25,0.05
629,1.00,5.06,1.74,0.27
629,1.00,2.73,0.63,0.13
629,1.01,4.88,1.27,0.25
629,1.00,4.38,1.07,0.23
616,1.00,2.19,0.49,0.06
616,0.00,149,3,0
616,1.00,3.3,1,0.18
616,1.01,16.13,6.64,1.45
616,1.00,7.06,2.03,0.39
616,1.00,4.19,1.57,0.33
616,1.00,9.31,2.28,0.49
615,1.00,3.72,0.79,0.17
612,1.08,3.16,0.74,0.13
609,0.53,1.84,0.35,0.08
607,1.00,2.81,0.5,0.11
561,0.58,0.58,0.16,0.02
615,0.87,3.02,0.38,0.09
615,1.00,1.55,0.44,0.08
611,0.77,1.62,0.45,0.1
624,1.00,12.12,1.13,0.26
624,1.00,2.56,0.61,0.13
624,1.00,4.11,0.56,0.12
624,1.00,3.44,0.54,0.14
624,1.01,8.21,1.16,0.27
624,1.00,5.44,1.07,0.2
623,1.00,6.23,0.48,0.1
623,1.00,0.86,0.74,0.16
623,1.00,6.21,0.87,0.17
623,1.00,0.18,0.3,0.06
623,1.00,13.21,1.45,0.25
623,1.00,1.12,0.69,0.16
623,1.02,10.1,1.55,0.23
