Days_since_launch,Total_Stock_Sold_Percentage,Alltime_Perday_View,Alltime_Perday_ATC,Alltime_Perday_Quantity
797,1.00,7.78,0.84,0.11
778,0.65,0.84,0.14,0.03
792,0.94,1.93,0.18,0.04
793,1.00,3.53,0.33,0.04
746,1.00,0.75,0.18,0.03
771,1.00,1.37,0.27,0.04
796,1.00,6.18,0.97,0.12
802,1.00,6.71,0.6,0.1
800,1.00,3.86,0.68,0.07
802,1.00,17.44,2.16,0.21
800,1.00,25.15,3.03,0.43
768,1.00,4.84,0.4,0.04
761,0.73,4,0.31,0.03
799,1.00,9.66,0.5,0.09
802,1.00,2.86,0.33,0.04
802,1.00,0.72,0.11,0.02
792,1.01,3.81,0.6,0.11
799,1.00,5.49,1.01,0.2
795,1.00,1.74,0.38,0.06
800,0.92,1.26,0.33,0.04
284,1.00,88,11,1
863,0.00,2,3,0
863,0.00,2,0,0
581,0.00,65,20,1
863,0.00,8,1,0
799,1.03,1.99,0.94,0.34
777,0.81,1.97,0.75,0.24
797,0.85,1.15,0.54,0.18
801,0.94,0.87,0.48,0.14
796,0.26,1.63,0.14,0.04
802,1.00,5.69,0.67,0.08
785,0.92,1.6,0.34,0.07
748,0.32,1.51,0.25,0.04
722,1.00,2.07,0.49,0.03
802,1.02,29.91,1.24,0.18
802,1.00,8.13,0.81,0.15
802,1.00,4.86,0.73,0.11
491,1.00,43.29,3.4,0.63
802,1.00,5.72,0.72,0.12
794,1.00,17.52,1.23,0.16
801,1.13,2.28,0.37,0.1
787,1.00,2.03,0.44,0.08
674,1.00,0.42,0.24,0.01
792,1.00,1.03,0.38,0.07
797,1.00,4.34,0.69,0.11
792,1.00,3.56,1.6,0.37
796,1.00,1.92,1.31,0.24
802,1.00,14.83,3.8,0.95
776,0.63,4.22,0.61,0.12
796,1.00,3.27,0.4,0.09
800,1.00,4,0.47,0.11
793,1.00,3.36,0.29,0.02
793,1.05,2.74,0.27,0.05
801,0.52,3.55,0.48,0.11
782,0.70,5.53,0.78,0.13
281,1.10,4.97,0.84,0.09
800,0.00,301,4,0
800,1.03,15.69,1.14,0.22
800,1.00,8.06,1.1,0.24
779,1.04,6.44,0.94,0.18
797,1.00,9.76,1.54,0.27
799,1.00,4.29,0.9,0.11
802,0.00,199,62,0
801,1.00,4.81,0.58,0.1
720,1.00,28.96,1.43,0.14
802,1.02,3.06,1.38,0.3
565,1.00,2.44,1,0.19
640,1.00,0.17,0.08,0.01
678,1.00,0.53,0.04,0.01
565,1.00,0.12,0.05,0.02
678,1.00,0.28,0.09,0.02
665,1.00,0.12,0.06,0.01
800,1.00,1.9,1.02,0.2
798,1.00,2.1,0.83,0.22
802,0.05,1.16,0.08,0.01
801,1.00,3.1,0.25,0.07
762,1.42,2.32,0.14,0.04
801,1.00,1.03,0.21,0.04
762,2.25,0.48,0.09,0.02
801,0.91,1.23,0.52,0.17
762,1.00,1.8,0.13,0.03
801,1.00,1.64,0.29,0.11
762,1.09,1.39,0.31,0.13
802,1.00,6.86,2.38,0.49
616,1.00,652,9,1
735,1.00,469,38,1
799,1.00,3.5,0.53,0.08
491,1.00,4.04,0.33,0.15
801,1.00,2.02,0.48,0.08
788,1.02,2.93,0.42,0.08
725,1.00,1.85,0.45,0.08
775,0.90,4.58,1.4,0.28
800,0.98,0.82,0.29,0.07
779,1.00,4.48,0.89,0.22
779,1.00,2.27,0.68,0.15
786,1.00,6.18,0.67,0.15
799,1.00,5.2,1.16,0.34
798,1.00,4.57,0.75,0.14
785,1.00,3.41,0.67,0.13
784,1.00,2.45,0.6,0.13
802,1.00,4.76,1.08,0.24
797,0.73,3.27,0.36,0.1
792,0.89,1.77,0.38,0.11
773,1.02,2.77,0.59,0.09
781,1.00,2.66,0.49,0.07
795,1.00,30.74,1.24,0.12
799,1.00,25.84,2,0.12
800,1.00,5.11,0.72,0.17
802,1.00,3.54,0.96,0.22
800,1.00,3.93,0.7,0.17
802,0.00,13,7,0
802,0.00,770,29,0
795,1.00,1.62,0.56,0.12
788,1.00,2.18,0.54,0.12
797,1.00,1.06,0.52,0.11
444,1.00,1265,39,1
798,1.00,1.46,0.52,0.11
799,1.00,4.38,0.28,0.01
802,0.00,119,55,0
799,1.01,4.01,0.87,0.22
800,1.00,4.78,1.02,0.25
799,1.00,6.52,1.41,0.2
801,1.00,3.59,0.64,0.13
802,0.00,546,19,0
802,1.00,1.32,0.39,0.08
801,1.00,2.77,0.77,0.17
719,1.00,5.87,1.77,0.48
720,1.00,6.77,1.04,0.14
716,1.00,4.2,1.07,0.2
726,1.00,2.45,0.67,0.14
724,1.00,4.76,0.73,0.08
721,1.00,6.44,1.56,0.37
726,1.00,5.04,2.54,0.57
724,1.00,9.33,2.04,0.49
802,0.47,0.92,0.6,0.16
791,0.30,0.17,0.05,0.01
791,0.50,0.63,0.04,0.01
793,0.07,0.09,0.03,0
793,0.19,1.59,0.05,0
793,1.50,1.18,0.15,0.05
801,0.83,2.92,0.22,0.07
793,2.00,0.37,0.07,0.01
801,0.85,0.94,0.26,0.08
793,0.31,0.25,0.03,0.01
801,0.61,5.47,0.25,0.02
801,0.84,1.89,0.36,0.12
793,2.00,2.67,0.53,0.03
798,1.00,18.29,1.92,0.18
798,0.74,3.76,0.88,0.16
796,0.72,3.02,0.69,0.13
802,1.00,5.54,0.5,0.13
802,0.00,80,72,0
782,1.50,2.52,1.26,0.02
439,1.00,1.53,3.27,0.05
802,0.00,460,141,0
741,1.00,0.75,0.17,0.01
802,0.00,11,7,0
799,1.00,6.36,1.78,0.11
801,1.00,6.43,1.44,0.2
802,0.00,18,12,0
609,1.00,46,4,1
456,1.20,5.42,2,0.5
602,1.00,1.7,0.12,0.03
801,1.00,2.49,0.28,0.04
794,1.00,1.31,0.13,0.03
786,1.00,1.94,0.63,0.14
801,1.09,12.27,1.45,0.19
801,0.00,1,1,0
800,1.00,3.3,0.69,0.05
786,0.00,464,7,0
801,1.02,3.43,0.6,0.1
